Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL209815,512.44,1,4.79,CCC(c1nn2c(Cl)ccc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(Cl)cc1,7.22
CHEMBL377666,492.02,0,4.53,CCC(c1nn2cccc2c(=O)n1Cc1ccccc1)N(CC(C)(C)N)C(=O)c1ccc(Cl)cc1,5.43
CHEMBL4293322,278.34,0,1.26,CC(=O)NC1=NN(C(C)=O)C(C)(c2ccncc2)S1,4.22
CHEMBL4283892,279.32,0,0.65,CC(=O)NC1=NN(C(C)=O)C(C)(c2cnccn2)S1,4.33
CHEMBL395034,435.47,0,4.61,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CC[C@H](N)C(F)F)c1ccccc1,8.28
CHEMBL2325429,517.07,2,6.53,Cc1ccc(C(=O)N(CCCN)[C@@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1,6.22
CHEMBL377566,386.45,0,3.69,CN(C)C(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN)c1ccccc1,8.72
CHEMBL208346,504.58,2,5.6,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCCNC(=O)c1ccccc1)c1ccccc1,6.05
CHEMBL378184,444.53,0,4.74,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCC[N+](C)(C)[O-])c1ccccc1,6.23
CHEMBL378497,478.59,1,5.43,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCCN1CC2C=CC1C2)c1ccccc1,6.92
CHEMBL195232,316.31,0,3.37,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@H]1c1cccc(O)c1,7.61
CHEMBL425420,505.57,1,4.99,CCNC(=O)N1N=C(c2cc(F)ccc2F)CC1(CCCCNC(=O)c1ccccn1)c1ccccc1,6.41
CHEMBL1829401,539.5,2,5.21,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(Br)cc1,7.52
CHEMBL3087421,504.33,2,5.5,O=c1cc(-c2ccccc2)oc2cc(Oc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3C(F)(F)F)c(O)c(O)c12,7.04
CHEMBL208145,237.35,0,3.54,Cc1ccc2c(c1C)CNCC2c1ccccc1,5.08
CHEMBL205297,336.52,0,4.59,Cc1ccc2c(c1C)CN(CCCCN(C)C)CC2c1ccccc1,5.27
CHEMBL381794,338.41,0,2.96,CN(C)C(=O)N1Cc2c(ccc3c2OCC3)C(c2cccc(O)c2)C1,6.19
